GOTOES_CSV,timestamp,position_lat,position_long,altitude,heart_rate,cadence,distance,speed,power,compressed_speed_distance,grade,resistance,time_from_course,cycle_length,temperature,,,,speed_1s,cycles,total_cycles,,,,,,,,,compressed_accumulated_power,accumulated_power,left_right_balance,gps_accuracy,vertical_speed,calories,,,,,,vertical_oscillation,stance_time_percent,stance_time,activity_type,left_torque_effectiveness,right_torque_effectiveness,left_pedal_smoothness,right_pedal_smoothness,combined_pedal_smoothness,time128,stroke_type,zone,ball_speed,cadence256,fractional_cadence,total_hemoglobin_conc,total_hemoglobin_conc_min,total_hemoglobin_conc_max,saturated_hemoglobin_percent,saturated_hemoglobin_percent_min,saturated_hemoglobin_percent_max,,unknown61,device_index,,,,unknown66,left_pco,right_pco,left_power_phase,left_power_phase_peak,right_power_phase,right_power_phase_peak,enhanced_speed,,,,,enhanced_altitude,,,battery_soc,motor_power,vertical_ratio,stance_time_balance,step_length,,,,,,absolute_pressure,depth,next_stop_depth,next_stop_time,time_to_surface,ndl_time,cns_load,n2_load,,,,,,,,,,,,,,,,grit,flow,,ebike_travel_range,ebike_battery_level,ebike_assist_mode,ebike_assist_level_percent
,2024-09-11T09:39:39,45.7550449,4.8798877,,67,0,0.17,,0,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,65535,65535,65535,running,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,0.000,,,,,182.6,,,,,65535,65535,65535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-09-11T09:39:40,45.7550536,4.8798740,,66,0,1.06,,0,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,65535,65535,65535,running,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,0.000,,,,,182.8,,,,,65535,65535,65535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-09-11T09:39:46,45.7551936,4.8798763,,65,0,1.06,,65535,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,65535,65535,65535,running,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,11.387,,,,,183.0,,,,,65535,65535,65535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-09-11T09:39:47,45.7552190,4.8798614,,66,92,3.32,,219,,,,,,30,,,,,,,,,,,,,,,,219,,,,,,,,,,79.0,65535,246.0,running,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,,,,10.447,,,,,183.0,,,,,8.35,65535,946.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-09-11T09:39:48,45.7552495,4.8798393,,66,92,7.04,,215,,,,,,30,,,,,,,,,,,,,,,,434,,,,,,,,,,77.2,65535,249.0,running,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,,,,9.976,,,,,183.0,,,,,8.54,65535,903.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-09-11T09:39:49,45.7552759,4.8798067,,67,92,11.38,,199,,,,,,30,,,,,,,,,,,,,,,,633,,,,,,,,,,77.2,65535,249.0,running,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,,,,9.976,,,,,183.2,,,,,8.54,65535,903.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-09-11T09:39:50,45.7552967,4.8797683,,67,92,15.04,,231,,,,,,30,,,,,,,,,,,,,,,,864,,,,,,,,,,82.8,65535,239.0,running,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,,,,11.419,,,,,183.2,,,,,8.00,65535,1034.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-09-11T09:39:51,45.7553213,4.8797291,,68,92,19.28,,268,,,,,,30,,,,,,,,,,,,,,,,1132,,,,,,,,,,85.8,65535,233.0,running,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,,,,12.262,,,,,183.4,,,,,7.72,65535,1110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-09-11T09:39:52,45.7553467,4.8796926,,68,91,23.36,,274,,,,,,29,,,,,,,,,,,,,,,,1406,,,,,,,,,,86.3,65535,232.0,running,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,,,,12.496,,,,,184.0,,,,,7.63,65535,1131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-09-11T09:39:53,45.7553708,4.8796684,,69,91,26.80,,289,,,,,,29,,,,,,,,,,,,,,,,1695,,,,,,,,,,88.5,65535,227.0,running,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,,,,13.169,,,,,184.0,,,,,7.42,65535,1192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
