GOTOES_CSV,timestamp,position_lat,position_long,altitude,heart_rate,cadence,distance,speed,power,compressed_speed_distance,grade,resistance,time_from_course,cycle_length,temperature,,,,speed_1s,cycles,total_cycles,,,,,,,,,compressed_accumulated_power,accumulated_power,left_right_balance,gps_accuracy,vertical_speed,calories,,,,,,vertical_oscillation,stance_time_percent,stance_time,activity_type,left_torque_effectiveness,right_torque_effectiveness,left_pedal_smoothness,right_pedal_smoothness,combined_pedal_smoothness,time128,stroke_type,zone,ball_speed,cadence256,fractional_cadence,total_hemoglobin_conc,total_hemoglobin_conc_min,total_hemoglobin_conc_max,saturated_hemoglobin_percent,saturated_hemoglobin_percent_min,saturated_hemoglobin_percent_max,,unknown61,device_index,,,,unknown66,left_pco,right_pco,left_power_phase,left_power_phase_peak,right_power_phase,right_power_phase_peak,enhanced_speed,,,,,enhanced_altitude,,,battery_soc,motor_power,vertical_ratio,stance_time_balance,step_length,,,,,,absolute_pressure,depth,next_stop_depth,next_stop_time,time_to_surface,ndl_time,cns_load,n2_load,,,,,,,,,,,,,,,,grit,flow,,ebike_travel_range,ebike_battery_level,ebike_assist_mode,ebike_assist_level_percent
,2025-10-29T13:02:03,48.8942892,2.2753602,,108,55,0.00,,73,,,,,,30,,,,,,,,,,,,,,,,73,,,,,,,,,,57.6,65535,65535,running,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,4.568,,,,,27.8,,,,,8.32,65535,692.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-10-29T13:02:04,48.8942774,2.2753724,,107,55,1.07,,209,,,,,,29,,,,,,,,,,,,,,,,282,,,,,,,,,,57.9,65535,65535,running,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,4.738,,,,,27.8,,,,,8.07,65535,717.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-10-29T13:02:05,48.8942598,2.2753930,,106,55,3.45,,80,,,,,,29,,,,,,,,,,,,,,,,362,,,,,,,,,,57.5,65535,65535,running,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,4.536,,,,,27.8,,,,,8.37,65535,687.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-10-29T13:02:06,48.8942357,2.2754168,,105,55,6.70,,129,,,,,,29,,,,,,,,,,,,,,,,491,,,,,,,,,,57.5,65535,65535,running,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,4.536,,,,,27.6,,,,,8.37,65535,687.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-10-29T13:02:07,48.8942080,2.2754342,,105,55,10.02,,96,,,,,,29,,,,,,,,,,,,,,,,587,,,,,,,,,,61.0,65535,65535,running,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,6.080,,,,,27.6,,,,,6.62,65535,921.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-10-29T13:02:08,48.8941712,2.2754584,,104,88,13.66,,109,,,,,,29,,,,,,,,,,,,,,,,696,,,,,,,,,,62.5,65535,65535,running,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,,,,6.750,,,,,27.4,,,,,6.11,65535,1022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-10-29T13:02:09,48.8941376,2.2754650,,104,88,17.74,,213,,,,,,29,,,,,,,,,,,,,,,,909,,,,,,,,,,80.4,65535,262.0,running,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,,,,9.205,,,,,27.6,,,,,9.23,65535,871.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-10-29T13:02:10,48.8940985,2.2754967,,104,88,22.69,,290,,,,,,29,,,,,,,,,,,,,,,,1199,,,,,,,,,,93.6,65535,241.0,running,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,,,,12.362,,,,,27.6,,,,,8.00,65535,1170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-10-29T13:02:11,48.8940766,2.2755266,,103,88,26.66,,322,,,,,,29,,,,,,,,,,,,,,,,1521,,,,,,,,,,97.8,65535,232.0,running,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,,,,13.504,,,,,27.8,,,,,7.64,65535,1278.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-10-29T13:02:12,48.8940422,2.2755689,,104,88,31.07,,348,,,,,,29,,,,,,,,,,,,,,,,1869,,,,,,,,,,100.6,65535,225.0,running,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,,,,14.443,,,,,28.2,,,,,7.36,65535,1367.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
